Page Number,Image Name (HC10-10002_XXX),Date (YYYY-MM-DD),Name of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Monthly Meeting,"Place (Township, County, etc)","Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)","Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Call Number
185,HC10-10002_338,1785-12-08,Thomas,4,21,male,Philadelphia,Philadelphia,,"Hopkins, Johns",male,"Howell, Joshua; Howell, Edward Wm.","Howell, Joshua; Howell, Edward William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
186,HC10-10002_340,1785-12-08,Frances,4,18,female,Philadelphia,Philadelphia,,"Hopkins, Johns",male,"Howell, Joshua; Howell, Edward Wm.","Howell, Joshua; Howell, Edward William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
187,HC10-10002_342,1785-12-08,Grace,12,18,female,Philadelphia,Philadelphia,,"Hopkins, Johns",male,"Howell, Joshua; Howell, Edward Wm.","Howell, Joshua; Howell, Edward William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
188,HC10-10002_344,1785-12-08,Samuel,10,21,female,Philadelphia,Philadelphia,,"Hopkins, Johns",male,"Howell, Joshua; Howell, Edward Wm.","Howell, Joshua; Howell, Edward William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
189,HC10-10002_346,1785-12-08,Elizabeth,7,18,female,Philadelphia,Philadelphia,,"Hopkins, Johns",male,"Howell, Joshua; Howell, Edward Wm.","Howell, Joshua; Howell, Edward William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
192,HC10-10002_352,1786-01-13,Sambo,8,21,male,Philadelphia,Philadelphia,,"Grandom, John",male,"Clarke, Saml; Gray, Joseph","Clarke, Samuel; Grey, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
194,HC10-10002_356,1786-12-25,New Castle,30,30,male,Philadelphia,Philadelphia,,"Goodman, Sarah",female,"Gilmore, Jos","Gilmore, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
195,HC10-10002_359,1789-04-08,Hannah Jones,18,18,female,Philadelphia,"Ridley, Chester County",,"Morton, Ann",female,,"Craig, William; Jones, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
196,HC10-10002_359,1790-11-03,Charity,,,female,Philadelphia,Philadelphia,,"Ball, Joseph",male,"Richards, William Jun.","Richards, William Jr.","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
256,HC10-10002_455,1774-11-14,Peter,21,31,male,Southern District,Philadelphia,,"Shoemaker, Jacob",male,,"Barnes, Barnaby; Hamilton, Gavin; Waln, Nicholas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
254,HC10-10002_451,1775-01-12,"Dinah, James, Judith",," ,21,18","female, female, 1 male",Southern District,Philadelphia,"Marriott, Joseph","Marriott, Joseph",male,"Marriott, Thomas; Marriott, Sarah","Marriott, Thomas; Marriott, Sarah","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
255,HC10-10002_453,1775-10-01,Eleanor Sneed,,,female,Southern District,"Moyamensing, Philadelphhia","Morris, Anthony; Morris, Elizabeth","Morris, Anthony; Morris, Elizabeth","male, female","Morris, Wm, Junr.; Carson, John","Morris, William, Jr.; Carson, John","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
257,HC10-10002_458,1775-12-08,Francis Black,,,male,Southern District,Philadelphia,,"Waln, Nicholas",male,"Reeve, Peter; Reeve, Mary","Reeve, Peter; Reeve, Mary","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
258,HC10-10002_460,1776-01-12,Mary Amy Exeter,12,18,female,Southern District,Philadelphia,,"Steele, Hannah",female,"Hallowell, Tho.; Sharpless, Benjamin","Hallowell, Thomas; Sharpless, Benjamin","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
259,HC10-10002_462,1776-01-12,Dinah,,,female,Southern District,"Southwark, Philadelphia",,"Jones, Abraham",male,"Hallowell, Thos.; Fuller, John","Hallowell, Thomas; Fuller, John","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
261,HC10-10002_466,1776-01-31,Henry,27,27,male,Southern District,Philadelphia,,"Bringhurst, Joseph",male,,"Morton, John; Fisher, Thomas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
262,HC10-10002_468,1776-02-07,Sancho,,,male,Southern District,"Southwark, Philadelphia",,"Mifflin, Benjamin",male,"Hallowell, John; Mifflin, Benjamin Junr.","Hallowell, John; Mifflin, Benjamin Jr.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
263,HC10-10002_470,1776-04-19,Parthena,60,,female,Southern District,Philadelphia,"Armitt, Elizabeth","Armitt, Elizabeth",female,"Steele, Hannah; Waln, Nicholas","Steele, Hannah; Waln, Nicholas","Drinker, John","Drinker, John","added note at bottom of document states ""The above Negro woman s[ai]d to be about sixty""",HC.PhQ.P480.07.002 (1250/J2.16)
264,HC10-10002_472,1776-04-20,George Rowland,8,21,male,Southern District,"Southwark, Philadelphia",,"Mifflin, Benjamin",male,"Waln, Nicholas; Mifflin, Benj. Junr.","Waln, Nicholas; Mifflin, Benjamin Jr.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
265,HC10-10002_474,1776-04-20,Phebe,6,18,female,Southern District,"Southwark, Philadelphia",,"Jones, Abraham",male,"Smith, Sarah; Waln, Nicholas","Smith, Sarah; Waln, Nicholas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
266,HC10-10002_476,1776-04-20,Lewis,15,21,male,Southern District,"Southwark, Philadelphia",,"Jones, Abraham",male,"Smith, Sarah; Waln, Nicholas","Smith, Sarah; Waln, Nicholas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
267,HC10-10002_478,1776-05-01,Phillis,,,female,Southern District,Philadelphia,,"Mifflin, John",male,"Waln, Nicholas; Mifflin, Jona","Waln, Nicholas; Mifflin, Jonathan",,,,HC.PhQ.P480.07.002 (1250/J2.16)
268,HC10-10002_480,1776-05-04,Gloster,,,male,Southern District,"Southwark, Philadelphia",,"Morris, Luke",male,"Waln, Nicholas; Drinker, Jos.","Waln, Nicholas; Drinker, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
269,HC10-10002_482,1776-05-04,Bristol,,,male,Southern District,"Southwark, Philadelphia",,"Morris, Luke",male,"Waln, Nicholas; Drinker, Jos.","Waln, Nicholas; Drinker, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
270,HC10-10002_484,1776-05-04,Chester,,,male,Southern District,"Southwark, Philadelphia",,"Morris, Luke",male,"Waln, Nicholas; Drinker, Jos.","Waln, Nicholas; Drinker, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
271,HC10-10002_486,1776-05-06,John York,,,male,Southern District,Philadelphia,,"Lownes, Joseph",male,"Marriott, Jos.; Marriott, Thomas","Marriott, Joseph; Marriott, Thomas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
260,HC10-10002_464,1776-05-20,Quansheba,34,34,female,Southern District,Philadelphia,,"Humphreys, Benjamin",male,"Jones, Edward; Bacon, David","Jones, Edward; Bacon, David","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
272,HC10-10002_488,1776-06-01,Peter,18,21,male,Southern District,New York,,"Nottingham, Samuel",male,,"Waln, Nicholas; Waln, Sarah","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
273,HC10-10002_488,1776-06-01,Sarah,8,18,female,Southern District,New York,,"Nottingham, Samuel",male,,"Waln, Nicholas; Waln, Sarah","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
274,HC10-10002_490,1776-07-08,Pompey,54,54,male,Southern District,"Moyamensing, Philadelphia",,"Morris, Anthony",male,,"Waln, Nicholas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
275,HC10-10002_490,1776-09-28,Jacob,23,23,male,Southern District,Philadelphia,,Mary Brochden,female,,"Roberts, Hugh; Maris, George","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
276,HC10-10002_493,1776-12-14,Phillis,13,18,female,Southern District,Philadelphia,,"Morris, Israel",male,,"Waln, Nicholas; Waln, Sarah","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
277,HC10-10002_493,1776-12-17,Mintes,50,50,male,Southern District,Philadelphia,,"Redwood, William",male,"Hallowell, Thos; Redwood, Sarah","Hallowell, Thomas; Redwood, Sarah","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
278,HC10-10002_495,1776-12-22,Sylvia,10,18,female,Southern District,Philadelphia,,"Howard, Peter",male,,"Drinker, Daniel; Fisher, Thomas","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
279,HC10-10002_495,1777-02-04,John Dongay,13,21,male,Southern District,Philadelphia,,"Mifflin, Charles",male,"Lewis, Saml.; Marriott, Jos.","Lewis, Samuel; Marriott, Joseph","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
280,HC10-10002_498,1777-05-09,Primus,25,23,male,Southern District,Philadelphia,,"Fisher, Thomas",male,,"Thomson, ; Fisher,","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
281,HC10-10002_498,1778-03-04,Cyrus,22,22,male,Southern District,Philadelphia,,"Dilworth, Jonathan",male,,"Waln, Nicholas; Pierce, Letitia","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
282,HC10-10002_501,1778-12-22,Jane,,,female,Southern District,,,"Wharton, Hannah",female,,"Rhoads, Saml; Wharton, Robert","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
283,HC10-10002_503,1778-12-22,Hagar,,,female,Southern District,,,"Wharton, Hannah",female,,"Rhoads, Saml; Wharton, Robert","Drinker, John",,,HC.PhQ.P480.07.002 (1250/J2.16)
284,HC10-10002_505,1779-01-27,Cesar,48,48,male,Southern District,Philadelphia,,"Evans, Jonathan",male,,"Peter, Sean; Piles, Jean; Evans, Benjamin","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
285,HC10-10002_507,1779-01-27,Celia,36,36,female,Southern District,Philadelphia,"Evans, Jonathan","Evans, Jonathan",male,,"Peter, Sean; Piles, Jean; Evans, Benjamin","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
253,HC10-10002_447,1781-12-06,Jane,50,50,female,Southern District,Philadelphia,"Davis, Lydia","Davis, Lydia",female,"Scattergood, Rebecca; West, Hannah","Scattergood, Rebecca; West, Hannah","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
286,HC10-10002_509,1785-11-08,Sophia,25,25,female,Southern District,Philadelphia,"Buckley, William","Buckley, William",male,,"Fisher, Thomas; Morton, John","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
287,HC10-10002_511,1786-03-17,John (Jack),,,male,Southern District,"Moyamensing, Philadelphia","Johnson, Sarah","Johnson, Sarah",female,"Townsend, John; Evans, Jonathan Junr.","Townsend, John; Evans, Jonathan Jr.","Drinker, John","Drinker, John","Joseph Johnson, whose will Sarah is administering, lived in Moyamensing",HC.PhQ.P480.07.002 (1250/J2.16)
288,HC10-10002_513,1786-03-17,Richard (Dick),,,male,Southern District,"Moyamensing, Philadelphia","Johnson, Sarah","Johnson, Sarah",female,"Townsend, John; Evans, Jonathan Junr.","Townsend, John; Evans, Jonathan Jr.","Drinker, John","Drinker, John","Joseph Johnson, whose will Sarah is administering, lived in Moyamensing",HC.PhQ.P480.07.002 (1250/J2.16)
289,HC10-10002_515,1787-08-07,Peter,,,male,Southern District,Philadelphia,"Priest, Peter","Priest, Peter",male,"Offley, Danl; Bringhurst, Joseph","Offley, Daniel; Bringhurst, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
291,HC10-10002_519,1789-04-08,Hannah Jones,18,18,female,Southern District,Chester County,"Morton, Ann","Morton, Ann",female,,"Craig, William",,,This is a document indenturing Hannah Jones to David Potts for a period of 10 years following her manumission by Ann Morton as documented on Page 195.,HC.PhQ.P480.07.002 (1250/J2.16)
290,HC10-10002_517,,Harry,,,male,Southern District,,,,,,,,,Listing of subscribers contributing to a fund to free Harry from a Workhouse for a price of 400 pounds,HC.PhQ.P480.07.002 (1250/J2.16)
